population	height_band_16	slope_band_0_10_25_40_55_90	block	count
side_east	0	-1	minecraft:acacia_wood	274
side_east	0	-1	minecraft:andesite	11
side_east	0	-1	minecraft:basalt	72
side_east	0	-1	minecraft:black_wool	12
side_east	0	-1	minecraft:blackstone	44
side_east	0	-1	minecraft:calcite	7
side_east	0	-1	minecraft:cobblestone	50
side_east	0	-1	minecraft:cyan_terracotta	227
side_east	0	-1	minecraft:diamond_block	41
side_east	0	-1	minecraft:dirt	97
side_east	0	-1	minecraft:grass_block	580
side_east	0	-1	minecraft:gray_wool	18
side_east	0	-1	minecraft:iron_ore	1
side_east	0	-1	minecraft:light_gray_wool	28
side_east	0	-1	minecraft:moss_block	736
side_east	0	-1	minecraft:mud	258
side_east	0	-1	minecraft:pale_moss_block	345
side_east	0	-1	minecraft:pale_oak_wood	99
side_east	0	-1	minecraft:smooth_basalt	81
side_east	0	-1	minecraft:spruce_log	32
side_east	0	-1	minecraft:stone	514
side_east	0	-1	minecraft:tuff	15
side_east	0	-1	minecraft:white_concrete	1
side_east	1	-1	minecraft:acacia_wood	549
side_east	1	-1	minecraft:basalt	187
side_east	1	-1	minecraft:blackstone	70
side_east	1	-1	minecraft:calcite	3
side_east	1	-1	minecraft:cobblestone	94
side_east	1	-1	minecraft:cyan_terracotta	592
side_east	1	-1	minecraft:diamond_block	73
side_east	1	-1	minecraft:dirt	56
side_east	1	-1	minecraft:grass_block	611
side_east	1	-1	minecraft:light_gray_wool	24
side_east	1	-1	minecraft:moss_block	672
side_east	1	-1	minecraft:mud	467
side_east	1	-1	minecraft:pale_moss_block	896
side_east	1	-1	minecraft:pale_oak_wood	105
side_east	1	-1	minecraft:smooth_basalt	118
side_east	1	-1	minecraft:spruce_log	1
side_east	1	-1	minecraft:stone	688
side_east	1	-1	minecraft:tuff	1
side_east	1	-1	minecraft:white_concrete	20
side_east	10	-1	minecraft:acacia_wood	270
side_east	10	-1	minecraft:andesite	9
side_east	10	-1	minecraft:basalt	114
side_east	10	-1	minecraft:birch_wood	37
side_east	10	-1	minecraft:cobblestone	25
side_east	10	-1	minecraft:cyan_terracotta	406
side_east	10	-1	minecraft:diorite	33
side_east	10	-1	minecraft:ice	6
side_east	10	-1	minecraft:mud	112
side_east	10	-1	minecraft:packed_ice	59
side_east	10	-1	minecraft:pale_moss_block	167
side_east	10	-1	minecraft:pale_oak_wood	22
side_east	10	-1	minecraft:smooth_basalt	41
side_east	10	-1	minecraft:snow_block	147
side_east	10	-1	minecraft:stone	239
side_east	10	-1	minecraft:white_concrete_powder	62
side_east	11	-1	minecraft:acacia_wood	388
side_east	11	-1	minecraft:basalt	55
side_east	11	-1	minecraft:birch_wood	102
side_east	11	-1	minecraft:blackstone	4
side_east	11	-1	minecraft:cobblestone	14
side_east	11	-1	minecraft:cyan_terracotta	226
side_east	11	-1	minecraft:diorite	61
side_east	11	-1	minecraft:ice	1
side_east	11	-1	minecraft:light_gray_wool	1
side_east	11	-1	minecraft:mud	79
side_east	11	-1	minecraft:packed_ice	43
side_east	11	-1	minecraft:pale_moss_block	186
side_east	11	-1	minecraft:pale_oak_wood	67
side_east	11	-1	minecraft:smooth_basalt	21
side_east	11	-1	minecraft:snow_block	122
side_east	11	-1	minecraft:stone	236
side_east	11	-1	minecraft:white_concrete_powder	46
side_east	12	-1	minecraft:acacia_wood	235
side_east	12	-1	minecraft:basalt	53
side_east	12	-1	minecraft:birch_wood	114
side_east	12	-1	minecraft:blackstone	5
side_east	12	-1	minecraft:cobblestone	16
side_east	12	-1	minecraft:cyan_terracotta	106
side_east	12	-1	minecraft:diorite	79
side_east	12	-1	minecraft:light_gray_wool	10
side_east	12	-1	minecraft:mud	40
side_east	12	-1	minecraft:pale_moss_block	149
side_east	12	-1	minecraft:pale_oak_wood	72
side_east	12	-1	minecraft:smooth_basalt	4
side_east	12	-1	minecraft:snow_block	98
side_east	12	-1	minecraft:stone	220
side_east	12	-1	minecraft:white_concrete_powder	47
side_east	13	-1	minecraft:acacia_wood	107
side_east	13	-1	minecraft:basalt	1
side_east	13	-1	minecraft:birch_wood	95
side_east	13	-1	minecraft:blackstone	5
side_east	13	-1	minecraft:cobblestone	8
side_east	13	-1	minecraft:cyan_terracotta	92
side_east	13	-1	minecraft:diorite	36
side_east	13	-1	minecraft:light_gray_wool	89
side_east	13	-1	minecraft:mud	39
side_east	13	-1	minecraft:pale_moss_block	110
side_east	13	-1	minecraft:pale_oak_wood	21
side_east	13	-1	minecraft:smooth_basalt	1
side_east	13	-1	minecraft:snow_block	78
side_east	13	-1	minecraft:stone	144
side_east	13	-1	minecraft:white_concrete_powder	79
side_east	14	-1	minecraft:acacia_wood	130
side_east	14	-1	minecraft:andesite	3
side_east	14	-1	minecraft:basalt	1
side_east	14	-1	minecraft:birch_wood	66
side_east	14	-1	minecraft:blackstone	2
side_east	14	-1	minecraft:cobblestone	7
side_east	14	-1	minecraft:cyan_terracotta	36
side_east	14	-1	minecraft:diorite	48
side_east	14	-1	minecraft:light_gray_wool	178
side_east	14	-1	minecraft:mud	14
side_east	14	-1	minecraft:pale_moss_block	38
side_east	14	-1	minecraft:pale_oak_wood	55
side_east	14	-1	minecraft:smooth_basalt	4
side_east	14	-1	minecraft:snow_block	46
side_east	14	-1	minecraft:stone	98
side_east	14	-1	minecraft:white_concrete_powder	32
side_east	15	-1	minecraft:acacia_wood	35
side_east	15	-1	minecraft:birch_wood	105
side_east	15	-1	minecraft:cobblestone	4
side_east	15	-1	minecraft:cyan_terracotta	16
side_east	15	-1	minecraft:diorite	55
side_east	15	-1	minecraft:light_gray_wool	88
side_east	15	-1	minecraft:mud	3
side_east	15	-1	minecraft:pale_moss_block	21
side_east	15	-1	minecraft:pale_oak_wood	5
side_east	15	-1	minecraft:snow_block	38
side_east	15	-1	minecraft:stone	41
side_east	15	-1	minecraft:white_concrete_powder	115
side_east	2	-1	minecraft:acacia_wood	873
side_east	2	-1	minecraft:andesite	12
side_east	2	-1	minecraft:basalt	145
side_east	2	-1	minecraft:black_wool	9
side_east	2	-1	minecraft:blackstone	89
side_east	2	-1	minecraft:cobblestone	105
side_east	2	-1	minecraft:cyan_terracotta	562
side_east	2	-1	minecraft:diamond_block	19
side_east	2	-1	minecraft:dirt	4
side_east	2	-1	minecraft:grass_block	454
side_east	2	-1	minecraft:gray_wool	6
side_east	2	-1	minecraft:light_gray_wool	52
side_east	2	-1	minecraft:moss_block	265
side_east	2	-1	minecraft:mud	425
side_east	2	-1	minecraft:pale_moss_block	778
side_east	2	-1	minecraft:pale_oak_wood	113
side_east	2	-1	minecraft:smooth_basalt	151
side_east	2	-1	minecraft:stone	1031
side_east	2	-1	minecraft:tuff	8
side_east	2	-1	minecraft:white_concrete	11
side_east	3	-1	minecraft:acacia_wood	908
side_east	3	-1	minecraft:andesite	42
side_east	3	-1	minecraft:basalt	73
side_east	3	-1	minecraft:black_wool	31
side_east	3	-1	minecraft:blackstone	62
side_east	3	-1	minecraft:cobblestone	139
side_east	3	-1	minecraft:cyan_terracotta	616
side_east	3	-1	minecraft:diamond_block	4
side_east	3	-1	minecraft:dirt	2
side_east	3	-1	minecraft:grass_block	320
side_east	3	-1	minecraft:gray_wool	8
side_east	3	-1	minecraft:light_gray_wool	64
side_east	3	-1	minecraft:moss_block	211
side_east	3	-1	minecraft:mud	527
side_east	3	-1	minecraft:pale_moss_block	782
side_east	3	-1	minecraft:pale_oak_wood	187
side_east	3	-1	minecraft:smooth_basalt	141
side_east	3	-1	minecraft:stone	1332
side_east	3	-1	minecraft:tuff	2
side_east	4	-1	minecraft:acacia_wood	915
side_east	4	-1	minecraft:andesite	8
side_east	4	-1	minecraft:basalt	287
side_east	4	-1	minecraft:birch_wood	2
side_east	4	-1	minecraft:black_wool	5
side_east	4	-1	minecraft:blackstone	102
side_east	4	-1	minecraft:cobblestone	65
side_east	4	-1	minecraft:cyan_terracotta	673
side_east	4	-1	minecraft:dirt	7
side_east	4	-1	minecraft:dripstone_block	1
side_east	4	-1	minecraft:grass_block	337
side_east	4	-1	minecraft:gray_wool	46
side_east	4	-1	minecraft:light_gray_wool	35
side_east	4	-1	minecraft:moss_block	46
side_east	4	-1	minecraft:mud	403
side_east	4	-1	minecraft:pale_moss_block	1003
side_east	4	-1	minecraft:pale_oak_wood	94
side_east	4	-1	minecraft:smooth_basalt	189
side_east	4	-1	minecraft:stone	839
side_east	4	-1	minecraft:tuff	5
side_east	4	-1	minecraft:white_concrete	2
side_east	5	-1	minecraft:acacia_wood	781
side_east	5	-1	minecraft:andesite	2
side_east	5	-1	minecraft:basalt	180
side_east	5	-1	minecraft:black_wool	4
side_east	5	-1	minecraft:blackstone	31
side_east	5	-1	minecraft:coal_ore	1
side_east	5	-1	minecraft:cobblestone	64
side_east	5	-1	minecraft:cyan_terracotta	636
side_east	5	-1	minecraft:dirt	8
side_east	5	-1	minecraft:grass_block	61
side_east	5	-1	minecraft:gravel	13
side_east	5	-1	minecraft:gray_wool	162
side_east	5	-1	minecraft:light_gray_wool	50
side_east	5	-1	minecraft:moss_block	27
side_east	5	-1	minecraft:mud	330
side_east	5	-1	minecraft:pale_moss_block	782
side_east	5	-1	minecraft:pale_oak_wood	179
side_east	5	-1	minecraft:smooth_basalt	87
side_east	5	-1	minecraft:snow_block	112
side_east	5	-1	minecraft:stone	881
side_east	5	-1	minecraft:white_concrete	33
side_east	6	-1	minecraft:acacia_wood	711
side_east	6	-1	minecraft:andesite	13
side_east	6	-1	minecraft:basalt	190
side_east	6	-1	minecraft:birch_wood	1
side_east	6	-1	minecraft:black_wool	1
side_east	6	-1	minecraft:blackstone	59
side_east	6	-1	minecraft:coal_ore	4
side_east	6	-1	minecraft:cobblestone	61
side_east	6	-1	minecraft:cyan_terracotta	676
side_east	6	-1	minecraft:diorite	3
side_east	6	-1	minecraft:dirt	11
side_east	6	-1	minecraft:dripstone_block	4
side_east	6	-1	minecraft:grass_block	4
side_east	6	-1	minecraft:gravel	3
side_east	6	-1	minecraft:gray_wool	3
side_east	6	-1	minecraft:iron_ore	3
side_east	6	-1	minecraft:light_gray_wool	51
side_east	6	-1	minecraft:moss_block	49
side_east	6	-1	minecraft:mud	288
side_east	6	-1	minecraft:pale_moss_block	565
side_east	6	-1	minecraft:pale_oak_wood	204
side_east	6	-1	minecraft:smooth_basalt	70
side_east	6	-1	minecraft:snow_block	681
side_east	6	-1	minecraft:stone	1038
side_east	6	-1	minecraft:white_wool	10
side_east	7	-1	minecraft:acacia_wood	617
side_east	7	-1	minecraft:andesite	27
side_east	7	-1	minecraft:basalt	158
side_east	7	-1	minecraft:blackstone	36
side_east	7	-1	minecraft:cobblestone	53
side_east	7	-1	minecraft:cyan_terracotta	368
side_east	7	-1	minecraft:diorite	2
side_east	7	-1	minecraft:gravel	6
side_east	7	-1	minecraft:light_gray_wool	31
side_east	7	-1	minecraft:moss_block	16
side_east	7	-1	minecraft:mud	265
side_east	7	-1	minecraft:pale_moss_block	357
side_east	7	-1	minecraft:pale_oak_wood	207
side_east	7	-1	minecraft:powder_snow	3
side_east	7	-1	minecraft:smooth_basalt	33
side_east	7	-1	minecraft:snow_block	525
side_east	7	-1	minecraft:stone	686
side_east	7	-1	minecraft:white_concrete_powder	1
side_east	8	-1	minecraft:acacia_wood	588
side_east	8	-1	minecraft:andesite	10
side_east	8	-1	minecraft:basalt	63
side_east	8	-1	minecraft:birch_wood	51
side_east	8	-1	minecraft:black_wool	1
side_east	8	-1	minecraft:blackstone	23
side_east	8	-1	minecraft:coal_ore	1
side_east	8	-1	minecraft:cobblestone	46
side_east	8	-1	minecraft:cyan_terracotta	295
side_east	8	-1	minecraft:diorite	39
side_east	8	-1	minecraft:gravel	1
