distance	axis	pairs	exact_matches	match_fraction	family_matches	family_fraction
1	x	126959	82512	0.6499106010601848	97162	0.7653021841696925
1	y	126985	85047	0.6697405205339213	99134	0.7806748828601804
2	x	126325	64260	0.5086879081733624	83973	0.6647377795369087
2	y	126377	67565	0.5346305102985511	86596	0.6852196206588224
3	x	125735	53087	0.4222133852944685	75699	0.6020519346244084
3	y	125818	55899	0.4442846015673433	77862	0.6188462700090607
4	x	125188	45806	0.36589768987442883	69850	0.5579608269163179
4	y	125339	47988	0.3828656683075499	71742	0.5723836954180264
6	x	124188	37608	0.3028311914194608	62724	0.5050729539085902
6	y	124474	38861	0.31220174494271896	64471	0.517947523177531
8	x	123323	33561	0.2721390170527801	59092	0.4791644705367206
8	y	123677	33823	0.27347849640596067	60324	0.4877543924901154
12	x	121685	29303	0.24081028886058264	55326	0.45466573530016025
12	y	122106	28634	0.2345011711136226	55147	0.45163218842644914
16	x	120030	26268	0.21884528867783054	52309	0.43579938348746144
16	y	120679	26202	0.21712145443697745	52561	0.4355438808740543
24	x	116754	23279	0.19938503177621322	48951	0.4192661493396372
24	y	117924	22893	0.19413350971812354	49546	0.420151962280791
32	x	113604	21160	0.18626104714622724	45694	0.4022217527551847
32	y	115169	21037	0.18266200105931282	46961	0.4077572958000851
48	x	107929	18697	0.1732342558533851	40911	0.37905474895533176
48	y	109749	16068	0.1464068009731296	39396	0.3589645463739988
64	x	102191	16386	0.16034680157743833	36768	0.359796850994706
64	y	104322	13432	0.12875520024539408	34337	0.32914437990069206
1	along_slope_gt25	100167	59365	0.5926602573701918	72525	0.7240408517775315
1	along_contour_gt25	100012	61690	0.6168259808822941	73906	0.7389713234411871
2	along_slope_gt25	100064	45140	0.45111128877518386	62001	0.6196134473936681
2	along_contour_gt25	99792	47587	0.476861872695206	63533	0.6366542408209075
4	along_slope_gt25	99853	31372	0.3141818473155539	51436	0.5151172223168057
4	along_contour_gt25	99353	31101	0.3130353386410073	50681	0.5101104143810453
8	along_slope_gt25	99128	22188	0.22383181341296102	42967	0.4334496812202405
8	along_contour_gt25	98612	21000	0.2129558268770535	42054	0.42645925445179084
16	along_slope_gt25	97917	16688	0.17043005811044049	37191	0.37982168571341035
16	along_contour_gt25	96857	17265	0.17825247529863614	37938	0.3916908432018336
32	along_slope_gt25	95920	14030	0.14626772310258548	34258	0.35715179316096746
32	along_contour_gt25	93032	14941	0.16060065353856737	34218	0.36780892596095965
