block	count	min_z	mean_z	max_z	mean_x	mean_y	shaped_detail
minecraft:acacia_wood	12336	0	50.683771076523996	135	193.8449254215305	145.7505674448768	false
minecraft:andesite	1445	0	56.03598615916955	131	108.03114186851211	228.40968858131487	false
minecraft:basalt	2177	0	44.7156637574644	130	198.79099678456592	167.35737253100598	false
minecraft:birch_wood	4213	42	104.58248279136008	138	160.6489437455495	159.57464989318774	false
minecraft:black_wool	85	2	31.8	120	179.6	56.27058823529412	false
minecraft:blackstone	632	0	32.03006329113924	127	199.0632911392405	166.17088607594937	false
minecraft:calcite	29	0	7.655172413793103	14	177.20689655172413	306.62068965517244	false
minecraft:coal_ore	8	4	56.5	76	54.625	83.0	false
minecraft:coarse_dirt	18	72	79.11111111111111	97	138.55555555555554	85.22222222222223	false
minecraft:cobblestone	5891	0	53.18587676116109	134	110.66457307757597	234.85418434900697	false
minecraft:cyan_terracotta	8307	0	47.942337787408206	133	199.62176477669436	151.63681232695316	false
minecraft:diamond_block	421	0	10.593824228028504	27	214.44893111638956	319.63895486935866	false
minecraft:diorite	3006	40	106.63306719893546	137	166.2425149700599	159.50465735196275	false
minecraft:dirt	226	0	21.52654867256637	93	176.6769911504425	247.23451327433628	false
minecraft:dripstone_block	66	39	58.621212121212125	115	68.95454545454545	69.63636363636364	false
minecraft:granite	12	78	92.16666666666667	95	161.75	98.5	false
minecraft:grass_block	17918	0	12.368791159727648	53	197.66837816720616	284.1607880343788	false
minecraft:gravel	7	49	53.42857142857143	65	46.714285714285715	7.142857142857143	false
minecraft:gray_wool	283	1	42.67137809187279	53	35.081272084805654	61.31802120141343	false
minecraft:ice	12	83	89.75	102	11.416666666666666	11.583333333333334	false
minecraft:iron_ore	3	7	37.333333333333336	53	132.33333333333334	147.66666666666666	false
minecraft:light_gray_terracotta	32	68	91.5625	117	149.96875	100.90625	false
minecraft:light_gray_wool	1321	0	70.3005299015897	136	189.65253595760788	166.26343679031038	false
minecraft:moss_block	10966	0	17.127120189677186	72	206.90798832755792	217.5378442458508	false
minecraft:mud	5563	0	41.022829408592486	132	222.96135178860328	155.70142009706993	false
minecraft:packed_ice	136	71	80.1029411764706	100	8.382352941176471	22.845588235294116	false
minecraft:packed_mud	23	73	75.34782608695652	78	132.3913043478261	79.91304347826087	false
minecraft:pale_moss_block	17131	0	49.97489930535287	136	164.81127780047868	175.51438911914073	false
minecraft:pale_oak_wood	2587	0	49.78739853111713	130	213.1580981832238	152.43254735214535	false
minecraft:powder_snow	6	63	70.83333333333333	86	85.66666666666667	108.33333333333333	false
minecraft:smooth_basalt	1394	0	33.227403156384504	127	207.4770444763271	148.73816355810618	false
minecraft:snow_block	4793	43	82.1187147924056	138	75.60150219069476	87.80179428332985	false
minecraft:spruce_log	23	4	6.6521739130434785	10	19.47826086956522	363.69565217391306	false
minecraft:stone	22818	0	51.768910509247085	136	155.78481900254187	180.588132176352	false
minecraft:tuff	276	0	33.18115942028985	107	136.75	158.32608695652175	false
minecraft:white_concrete	127	8	32.44094488188976	72	194.51181102362204	168.0	false
minecraft:white_concrete_powder	3323	64	103.55221185675595	138	151.82876918447187	159.18266626542282	false
minecraft:white_wool	82	54	57.13414634146341	60	83.86585365853658	241.46341463414635	false
