x	y	top_z	substrate_z	normalized_height	slope1	slope4	slope8	dx4	dy4	substrate	visible
0	0	102	102	0.739130	35.264	26.565	33.125	-0.500	0.000	minecraft:snow_block	minecraft:snow_block
1	0	103	103	0.746377	0.000	45.222	41.473	-1.000	-0.125	minecraft:snow_block	minecraft:snow_block
2	0	102	102	0.739130	56.310	41.186	41.258	-0.875	0.000	minecraft:snow_block	minecraft:snow_block
3	0	100	100	0.724638	63.435	36.870	36.870	-0.750	0.000	minecraft:packed_ice	minecraft:packed_ice
4	0	98	98	0.710145	68.199	51.479	34.945	-1.250	0.125	minecraft:packed_ice	minecraft:packed_ice
5	0	95	95	0.688406	56.310	60.318	30.525	-1.750	0.125	minecraft:snow_block	minecraft:snow_block
6	0	95	95	0.688406	26.565	60.255	29.206	-1.750	0.000	minecraft:snow_block	minecraft:snow_block
7	0	94	94	0.681159	56.310	56.310	27.266	-1.500	0.000	minecraft:snow_block	minecraft:snow_block
8	0	92	92	0.666667	68.199	54.085	45.495	-1.375	0.125	minecraft:snow_block	minecraft:snow_block
9	0	89	89	0.644928	64.123	45.000	47.505	-1.000	0.000	minecraft:snow_block	minecraft:snow_block
10	0	88	88	0.637681	35.264	45.000	45.868	-1.000	0.000	minecraft:snow_block	minecraft:snow_block
11	0	88	88	0.637681	26.565	45.000	44.135	-1.000	0.000	minecraft:snow_block	minecraft:snow_block
12	0	87	87	0.630435	35.264	37.247	42.303	-0.750	0.125	minecraft:snow_block	minecraft:snow_block
13	0	87	87	0.630435	0.000	21.568	36.187	-0.375	0.125	minecraft:snow_block	minecraft:snow_block
14	0	87	87	0.630435	26.565	15.616	38.329	-0.250	0.125	minecraft:snow_block	minecraft:snow_block
15	0	86	86	0.623188	35.264	27.938	38.065	-0.375	0.375	minecraft:snow_block	minecraft:snow_block
16	0	86	86	0.623188	26.565	32.005	34.060	-0.375	0.500	minecraft:snow_block	minecraft:snow_block
17	0	86	86	0.623188	0.000	36.087	29.951	-0.375	0.625	minecraft:snow_block	minecraft:snow_block
18	0	86	86	0.623188	26.565	32.005	26.019	-0.500	0.375	minecraft:snow_block	minecraft:snow_block
19	0	85	85	0.615942	48.190	27.938	24.261	-0.375	0.375	minecraft:snow_block	minecraft:snow_block
20	0	84	84	0.608696	35.264	24.261	20.023	-0.375	0.250	minecraft:snow_block	minecraft:snow_block
21	0	84	84	0.608696	26.565	21.568	18.602	-0.375	0.125	minecraft:snow_block	minecraft:snow_block
22	0	83	83	0.601449	35.264	27.266	18.602	-0.500	0.125	minecraft:snow_block	minecraft:snow_block
23	0	83	83	0.601449	0.000	20.556	17.354	-0.375	0.000	minecraft:ice	minecraft:ice
24	0	83	83	0.601449	26.565	19.471	22.746	-0.250	-0.250	minecraft:snow_block	minecraft:snow_block
25	0	83	83	0.601449	48.190	24.261	24.261	-0.250	-0.375	minecraft:snow_block	minecraft:snow_block
26	0	82	82	0.594203	35.264	15.616	24.261	-0.125	-0.250	minecraft:snow_block	minecraft:snow_block
27	0	82	82	0.594203	26.565	19.471	26.019	-0.250	-0.250	minecraft:snow_block	minecraft:snow_block
28	0	82	82	0.594203	26.565	27.938	26.019	-0.375	-0.375	minecraft:snow_block	minecraft:snow_block
29	0	82	82	0.594203	26.565	27.938	29.951	-0.375	-0.375	minecraft:snow_block	minecraft:snow_block
30	0	82	82	0.594203	48.190	24.261	33.599	-0.250	-0.375	minecraft:snow_block	minecraft:snow_block
31	0	81	81	0.586957	48.190	24.261	35.264	-0.375	-0.250	minecraft:snow_block	minecraft:snow_block
32	0	80	80	0.579710	26.565	24.261	40.368	-0.375	-0.250	minecraft:snow_block	minecraft:snow_block
33	0	80	80	0.579710	0.000	29.206	43.152	-0.500	-0.250	minecraft:snow_block	minecraft:snow_block
34	0	80	80	0.579710	26.565	39.981	44.312	-0.750	-0.375	minecraft:snow_block	minecraft:snow_block
35	0	79	79	0.572464	26.565	39.981	47.078	-0.750	-0.375	minecraft:snow_block	minecraft:snow_block
36	0	79	79	0.572464	35.264	48.190	51.685	-1.000	-0.500	minecraft:snow_block	minecraft:snow_block
37	0	78	78	0.565217	57.688	52.152	53.916	-1.125	-0.625	minecraft:snow_block	minecraft:snow_block
38	0	76	76	0.550725	56.310	53.396	54.971	-1.250	-0.500	minecraft:snow_block	minecraft:snow_block
39	0	75	75	0.543478	64.123	55.648	56.515	-1.375	-0.500	minecraft:stone	minecraft:stone
40	0	72	72	0.521739	63.435	60.806	57.464	-1.750	-0.375	minecraft:snow_block	minecraft:snow_block
41	0	71	71	0.514493	45.000	62.391	60.128	-1.875	-0.375	minecraft:snow_block	minecraft:snow_block
42	0	70	70	0.507246	57.688	61.214	60.656	-1.750	-0.500	minecraft:snow_block	minecraft:snow_block
43	0	68	68	0.492754	68.199	62.737	61.453	-1.875	-0.500	minecraft:stone	minecraft:stone
44	0	65	65	0.471014	68.199	62.137	62.553	-1.875	-0.250	minecraft:gravel	minecraft:gravel
45	0	63	63	0.456522	56.310	64.950	63.967	-2.125	-0.250	minecraft:snow_block	minecraft:snow_block
46	0	62	62	0.449275	56.310	64.950	62.553	-2.125	-0.250	minecraft:snow_block	minecraft:snow_block
47	0	60	60	0.434783	68.199	65.136	62.553	-2.125	-0.375	minecraft:stone	minecraft:stone
48	0	57	57	0.413043	71.565	63.829	61.618	-2.000	-0.375	minecraft:stone	minecraft:stone
49	0	54	54	0.391304	63.435	64.950	61.794	-2.125	-0.250	minecraft:gravel	minecraft:gravel
50	0	53	53	0.384058	56.310	63.829	61.794	-2.000	-0.375	minecraft:snow_block	minecraft:snow_block
51	0	51	51	0.369565	63.435	62.391	60.806	-1.875	-0.375	minecraft:gravel	minecraft:gravel
52	0	49	49	0.355072	68.583	60.504	58.855	-1.750	-0.250	minecraft:gray_wool	minecraft:gray_wool
53	0	46	46	0.333333	56.310	56.310	57.464	-1.500	0.000	minecraft:gray_wool	minecraft:gray_wool
54	0	46	46	0.333333	26.565	56.401	56.515	-1.500	-0.125	minecraft:gray_wool	minecraft:gray_wool
55	0	45	45	0.326087	56.310	54.085	54.223	-1.375	-0.125	minecraft:gray_wool	minecraft:gray_wool
56	0	43	43	0.311594	57.688	51.340	51.479	-1.250	0.000	minecraft:gray_wool	minecraft:gray_wool
57	0	42	42	0.304348	45.000	45.000	48.410	-1.000	0.000	minecraft:gray_wool	minecraft:gray_wool
58	0	41	41	0.297101	45.000	45.000	48.541	-1.000	0.000	minecraft:gray_wool	minecraft:gray_wool
59	0	40	40	0.289855	45.000	41.186	46.932	-0.875	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
60	0	40	39	0.282609	45.000	36.870	46.785	-0.750	0.000	minecraft:grass_block[snowy=false]	minecraft:short_grass
61	0	38	38	0.275362	26.565	36.870	43.152	-0.750	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
62	0	38	38	0.275362	0.000	37.247	45.056	-0.750	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
63	0	39	38	0.275362	26.565	37.247	43.216	-0.750	-0.125	minecraft:grass_block[snowy=false]	minecraft:short_grass
64	0	37	37	0.268116	45.000	41.186	39.177	-0.875	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
65	0	36	36	0.260870	48.190	41.473	36.870	-0.875	0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
66	0	35	35	0.253623	48.190	45.222	36.965	-1.000	0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
67	0	34	34	0.246377	56.310	45.000	36.965	-1.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
68	0	33	32	0.231884	56.310	41.186	36.965	-0.875	0.000	minecraft:grass_block[snowy=false]	minecraft:pink_petals[facing=west, flower_amount=4]
69	0	32	31	0.224638	45.000	36.870	36.870	-0.750	0.000	minecraft:grass_block[snowy=false]	minecraft:pink_petals[facing=north, flower_amount=3]
70	0	30	30	0.217391	26.565	37.247	39.094	-0.750	0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
71	0	32	30	0.217391	26.565	36.870	41.473	-0.750	0.000	minecraft:moss_block	minecraft:dandelion
72	0	30	30	0.217391	0.000	32.513	43.216	-0.625	-0.125	minecraft:moss_block	minecraft:moss_block
73	0	30	30	0.217391	35.264	33.946	41.824	-0.625	-0.250	minecraft:moss_block	minecraft:moss_block
74	0	29	29	0.210145	45.000	33.946	39.823	-0.625	-0.250	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
75	0	28	28	0.202899	45.000	38.329	39.823	-0.750	-0.250	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
76	0	27	27	0.195652	45.000	45.868	35.474	-1.000	-0.250	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
77	0	26	26	0.188406	48.190	45.868	33.125	-1.000	-0.250	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
