population	height_band_16	slope_band_0_10_25_40_55_90	block	count
side_east	11	-1	minecraft:dirt	3
side_east	11	-1	minecraft:grass_block	33
side_east	11	-1	minecraft:stone	3
side_east	13	-1	minecraft:dark_oak_log	1
side_east	13	-1	minecraft:dirt	1
side_east	13	-1	minecraft:grass_block	16
side_east	13	-1	minecraft:stone	8
side_east	15	-1	minecraft:coarse_dirt	1
side_east	15	-1	minecraft:dark_oak_log	4
side_east	15	-1	minecraft:grass_block	11
side_east	15	-1	minecraft:stone	5
side_east	4	-1	minecraft:brown_stained_glass_pane	3
side_east	4	-1	minecraft:horn_coral_fan	1
side_east	4	-1	minecraft:lily_pad	3
side_east	4	-1	minecraft:sea_pickle	1
side_east	4	-1	minecraft:sugar_cane	3
side_east	6	-1	minecraft:brown_stained_glass_pane	1
side_east	6	-1	minecraft:dark_oak_log	1
side_east	6	-1	minecraft:grass_block	13
side_east	6	-1	minecraft:sea_pickle	2
side_east	6	-1	minecraft:sugar_cane	3
side_east	9	-1	minecraft:dark_oak_log	2
side_east	9	-1	minecraft:dirt	2
side_east	9	-1	minecraft:grass_block	29
side_east	9	-1	minecraft:sea_pickle	1
side_north	11	-1	minecraft:dirt	1
side_north	11	-1	minecraft:grass_block	7
side_north	11	-1	minecraft:stone	3
side_north	13	-1	minecraft:dark_oak_log	1
side_north	13	-1	minecraft:grass_block	3
side_north	13	-1	minecraft:stone	6
side_north	15	-1	minecraft:dark_oak_log	2
side_north	15	-1	minecraft:grass_block	5
side_north	15	-1	minecraft:stone	5
side_north	4	-1	minecraft:brown_stained_glass_pane	2
side_north	4	-1	minecraft:coarse_dirt	1
side_north	4	-1	minecraft:grass_block	1
side_north	4	-1	minecraft:horn_coral_fan	1
side_north	4	-1	minecraft:lily_pad	2
side_north	4	-1	minecraft:sea_pickle	2
side_north	4	-1	minecraft:sugar_cane	4
side_north	6	-1	minecraft:brown_stained_glass_pane	1
side_north	6	-1	minecraft:dark_oak_log	1
side_north	6	-1	minecraft:grass_block	13
side_north	6	-1	minecraft:sea_pickle	2
side_north	6	-1	minecraft:sugar_cane	3
side_north	9	-1	minecraft:dark_oak_log	2
side_north	9	-1	minecraft:grass_block	4
side_north	9	-1	minecraft:sea_pickle	1
side_south	11	-1	minecraft:grass_block	35
side_south	11	-1	minecraft:stone	2
side_south	13	-1	minecraft:grass_block	3
side_south	13	-1	minecraft:stone	5
side_south	15	-1	minecraft:dark_oak_log	3
side_south	15	-1	minecraft:stone	3
side_south	4	-1	minecraft:brown_stained_glass_pane	3
side_south	4	-1	minecraft:grass_block	1
side_south	4	-1	minecraft:horn_coral_fan	1
side_south	4	-1	minecraft:lily_pad	3
side_south	4	-1	minecraft:sea_pickle	1
side_south	4	-1	minecraft:sugar_cane	4
side_south	6	-1	minecraft:brown_stained_glass_pane	1
side_south	6	-1	minecraft:coarse_dirt	1
side_south	6	-1	minecraft:dark_oak_log	1
side_south	6	-1	minecraft:grass_block	35
side_south	6	-1	minecraft:sea_pickle	2
side_south	6	-1	minecraft:sugar_cane	3
side_south	9	-1	minecraft:coarse_dirt	1
side_south	9	-1	minecraft:dark_oak_log	1
side_south	9	-1	minecraft:dirt	5
side_south	9	-1	minecraft:grass_block	34
side_south	9	-1	minecraft:sea_pickle	1
side_west	11	-1	minecraft:grass_block	10
side_west	11	-1	minecraft:stone	4
side_west	13	-1	minecraft:stone	6
side_west	15	-1	minecraft:dark_oak_log	2
side_west	15	-1	minecraft:stone	6
side_west	4	-1	minecraft:brown_stained_glass_pane	2
side_west	4	-1	minecraft:horn_coral_fan	1
side_west	4	-1	minecraft:lily_pad	2
side_west	4	-1	minecraft:sea_pickle	2
side_west	4	-1	minecraft:sugar_cane	3
side_west	6	-1	minecraft:dark_oak_log	1
side_west	6	-1	minecraft:dirt	1
side_west	6	-1	minecraft:grass_block	16
side_west	6	-1	minecraft:sea_pickle	2
side_west	6	-1	minecraft:sugar_cane	4
side_west	9	-1	minecraft:dark_oak_log	2
side_west	9	-1	minecraft:dirt	5
side_west	9	-1	minecraft:grass_block	9
side_west	9	-1	minecraft:sea_pickle	1
top_aspect_east	0	0	minecraft:andesite	1
top_aspect_east	0	0	minecraft:dirt	5
top_aspect_east	0	1	minecraft:dirt	15
top_aspect_east	11	0	minecraft:grass_block	3
top_aspect_east	11	1	minecraft:dirt	5
top_aspect_east	11	1	minecraft:grass_block	69
top_aspect_east	11	2	minecraft:dirt	2
top_aspect_east	11	2	minecraft:grass_block	10
top_aspect_east	13	0	minecraft:dirt	1
top_aspect_east	13	0	minecraft:grass_block	4
top_aspect_east	13	1	minecraft:dirt	13
top_aspect_east	13	1	minecraft:grass_block	41
top_aspect_east	15	0	minecraft:coarse_dirt	2
top_aspect_east	15	0	minecraft:dirt	2
top_aspect_east	15	0	minecraft:grass_block	14
top_aspect_east	15	0	minecraft:podzol	4
top_aspect_east	15	1	minecraft:grass_block	8
top_aspect_east	2	0	minecraft:andesite	1
top_aspect_east	2	0	minecraft:dirt	18
top_aspect_east	2	0	minecraft:dirt_path	1
top_aspect_east	2	1	minecraft:dirt	22
top_aspect_east	4	0	minecraft:andesite	4
top_aspect_east	4	0	minecraft:coarse_dirt	9
top_aspect_east	4	0	minecraft:dirt	3
top_aspect_east	4	0	minecraft:dirt_path	3
top_aspect_east	4	0	minecraft:grass_block	1
top_aspect_east	4	0	minecraft:gravel	4
top_aspect_east	4	1	minecraft:coarse_dirt	14
top_aspect_east	4	1	minecraft:dirt	24
top_aspect_east	4	1	minecraft:dirt_path	8
top_aspect_east	4	1	minecraft:gravel	20
top_aspect_east	4	2	minecraft:coarse_dirt	1
top_aspect_east	4	2	minecraft:dirt	4
top_aspect_east	4	2	minecraft:grass_block	3
top_aspect_east	6	0	minecraft:dirt	3
top_aspect_east	6	0	minecraft:grass_block	81
top_aspect_east	6	1	minecraft:andesite	1
top_aspect_east	6	1	minecraft:coarse_dirt	8
top_aspect_east	6	1	minecraft:dirt	15
top_aspect_east	6	1	minecraft:dirt_path	5
top_aspect_east	6	1	minecraft:grass_block	30
top_aspect_east	6	2	minecraft:coarse_dirt	3
top_aspect_east	6	2	minecraft:dirt	7
top_aspect_east	9	0	minecraft:coarse_dirt	3
top_aspect_east	9	0	minecraft:grass_block	49
top_aspect_east	9	1	minecraft:andesite	1
top_aspect_east	9	1	minecraft:coarse_dirt	18
top_aspect_east	9	1	minecraft:dirt	5
top_aspect_east	9	1	minecraft:grass_block	37
top_aspect_east	9	2	minecraft:coarse_dirt	14
top_aspect_east	9	2	minecraft:dirt	4
top_aspect_east	9	2	minecraft:grass_block	1
top_aspect_north	0	0	minecraft:andesite	8
top_aspect_north	0	0	minecraft:dirt	31
top_aspect_north	0	1	minecraft:andesite	5
top_aspect_north	0	1	minecraft:dirt	52
top_aspect_north	11	0	minecraft:grass_block	2
top_aspect_north	11	1	minecraft:grass_block	7
top_aspect_north	13	0	minecraft:dirt	4
top_aspect_north	13	0	minecraft:grass_block	3
top_aspect_north	13	1	minecraft:dirt	5
top_aspect_north	13	1	minecraft:grass_block	3
top_aspect_north	13	1	minecraft:stone	1
top_aspect_north	15	1	minecraft:coarse_dirt	3
top_aspect_north	15	1	minecraft:grass_block	6
top_aspect_north	15	1	minecraft:podzol	2
