distance	axis	pairs	exact_matches	match_fraction	family_matches	family_fraction
1	x	3100	2475	0.7983870967741935	2706	0.8729032258064516
1	y	3087	2380	0.7709750566893424	2694	0.8726919339164237
2	x	3050	2185	0.7163934426229508	2479	0.8127868852459016
2	y	3024	2144	0.708994708994709	2453	0.8111772486772487
3	x	3000	2014	0.6713333333333333	2303	0.7676666666666667
3	y	2961	1952	0.6592367443431273	2252	0.7605538669368457
4	x	2950	1885	0.6389830508474577	2184	0.7403389830508474
4	y	2898	1791	0.6180124223602484	2088	0.7204968944099379
6	x	2850	1703	0.5975438596491228	1985	0.6964912280701754
6	y	2772	1536	0.5541125541125541	1804	0.6507936507936508
8	x	2750	1550	0.5636363636363636	1801	0.6549090909090909
8	y	2646	1343	0.5075585789871504	1584	0.5986394557823129
12	x	2550	1238	0.48549019607843136	1483	0.5815686274509804
12	y	2394	999	0.41729323308270677	1214	0.5071010860484545
16	x	2350	1007	0.42851063829787234	1194	0.5080851063829788
16	y	2142	742	0.3464052287581699	885	0.41316526610644255
24	x	1950	704	0.36102564102564105	812	0.4164102564102564
24	y	1638	487	0.2973137973137973	559	0.3412698412698413
32	x	1550	449	0.2896774193548387	526	0.3393548387096774
32	y	1134	320	0.2821869488536155	333	0.29365079365079366
48	x	750	285	0.38	298	0.3973333333333333
48	y	126	66	0.5238095238095238	67	0.5317460317460317
64	x	0	0	NaN	0	NaN
64	y	0	0	NaN	0	NaN
1	along_slope_gt25	99	47	0.47474747474747475	67	0.6767676767676768
1	along_contour_gt25	97	70	0.7216494845360825	83	0.8556701030927835
2	along_slope_gt25	98	38	0.3877551020408163	51	0.5204081632653061
2	along_contour_gt25	94	50	0.5319148936170213	72	0.7659574468085106
4	along_slope_gt25	98	23	0.23469387755102042	36	0.3673469387755102
4	along_contour_gt25	87	48	0.5517241379310345	66	0.7586206896551724
8	along_slope_gt25	84	24	0.2857142857142857	29	0.34523809523809523
8	along_contour_gt25	68	34	0.5	46	0.6764705882352942
16	along_slope_gt25	27	9	0.3333333333333333	9	0.3333333333333333
16	along_contour_gt25	52	18	0.34615384615384615	24	0.46153846153846156
32	along_slope_gt25	8	5	0.625	5	0.625
32	along_contour_gt25	38	11	0.2894736842105263	18	0.47368421052631576
