y	wet_x_min	wet_x_max	wet_column_count	x_runs	lowest_wet_top_z	highest_wet_top_z
0	10	14	5	1	9	9
1	11	15	5	1	8	9
2	11	16	6	1	8	9
3	12	16	5	1	8	9
4	13	17	5	1	8	8
5	13	18	6	1	8	8
6	14	18	5	1	8	8
7	14	19	6	1	8	8
8	15	20	6	1	8	8
9	15	21	7	1	8	8
10	16	22	7	1	8	8
11	16	22	7	1	7	8
12	18	23	6	1	7	8
13	19	23	5	1	7	8
14	0	23	6	2	7	12
15	0	23	8	2	7	12
16	3	24	6	2	7	11
17	3	24	5	2	7	11
18	3	24	5	2	7	11
19	3	25	7	2	7	11
20	4	26	7	2	7	10
21	5	26	6	2	7	10
22	5	26	7	3	7	10
23	7	27	8	3	7	9
24	8	28	9	3	7	9
25	10	29	15	3	7	8
26	16	32	17	1	7	7
27	21	32	11	2	7	7
28	23	33	11	1	7	7
29	24	33	10	1	7	7
30	24	62	14	2	6	7
31	25	62	16	3	6	7
32	27	62	18	4	6	7
33	28	62	27	4	6	7
34	31	61	26	5	6	6
35	33	60	25	3	6	6
36	35	62	26	2	6	6
37	37	62	26	1	6	6
38	42	61	20	1	6	6
39	44	57	14	1	6	6
40	46	55	10	1	6	6
41	63	-1	0	0	13	-1
42	63	-1	0	0	13	-1
43	63	-1	0	0	13	-1
44	63	-1	0	0	13	-1
45	63	-1	0	0	13	-1
46	63	-1	0	0	13	-1
47	63	-1	0	0	13	-1
48	63	-1	0	0	13	-1
49	63	-1	0	0	13	-1
