block	count	min_z	mean_z	max_z	mean_x	mean_y	shaped_detail
minecraft:andesite	59	5	5.762711864406779	9	56.220338983050844	31.949152542372882	false
minecraft:coarse_dirt	297	6	7.441077441077441	12	34.744107744107744	28.28956228956229	false
minecraft:dark_oak_log	8	8	10.5	12	14.625	40.0	false
minecraft:dirt	778	5	6.561696658097686	12	31.020565552699228	24.43573264781491	false
minecraft:dirt_path	63	6	6.619047619047619	8	37.04761904761905	31.396825396825395	false
minecraft:farmland	8	6	6.0	6	38.75	30.75	false
minecraft:grass_block	1812	6	8.704194260485652	12	29.90783664459161	23.42328918322296	false
minecraft:gravel	29	7	7.0	7	19.06896551724138	21.103448275862068	false
minecraft:horn_coral_fan	1	7	7.0	7	46.0	35.0	false
minecraft:lily_pad	3	7	7.0	7	45.333333333333336	35.0	false
minecraft:mossy_cobblestone	4	5	5.5	6	37.5	32.75	false
minecraft:oak_wood	3	7	7.0	7	1.3333333333333333	43.0	false
minecraft:podzol	49	7	8.571428571428571	12	13.285714285714286	27.551020408163264	false
minecraft:sea_pickle	5	7	7.8	9	42.8	33.2	false
minecraft:stone	23	10	11.565217391304348	12	39.34782608695652	6.434782608695652	false
minecraft:sugar_cane	8	7	7.5	8	33.375	26.75	false
