block	area	min_x	min_y	max_x	max_y
minecraft:grass_block	9	0	0	2	3
minecraft:dirt	23	2	0	6	6
minecraft:grass_block	1	5	0	5	0
minecraft:coarse_dirt	46	7	0	15	23
minecraft:dirt	577	9	0	58	40
minecraft:grass_block	842	17	0	62	27
minecraft:podzol	1	26	0	26	0
minecraft:coarse_dirt	1	27	0	27	0
minecraft:podzol	12	25	0	29	4
minecraft:stone	5	42	0	44	2
minecraft:grass_block	157	0	1	13	23
minecraft:andesite	1	11	1	11	1
minecraft:dirt	1	26	1	26	1
minecraft:dark_oak_log	1	27	1	27	1
minecraft:coarse_dirt	1	29	1	29	1
minecraft:coarse_dirt	2	28	3	29	3
minecraft:stone	3	38	3	39	4
minecraft:podzol	3	0	4	1	5
minecraft:grass_block	1	2	4	2	4
minecraft:dirt	5	9	4	9	8
minecraft:coarse_dirt	1	27	4	27	4
minecraft:podzol	1	28	4	28	4
minecraft:coarse_dirt	1	0	5	0	5
minecraft:coarse_dirt	4	1	5	2	7
minecraft:podzol	4	0	6	1	8
minecraft:dirt	1	1	6	1	6
minecraft:grass_block	2	22	6	23	6
minecraft:stone	10	39	6	42	9
minecraft:dirt	1	4	7	4	7
minecraft:coarse_dirt	4	14	8	14	11
minecraft:dirt	1	5	9	5	9
minecraft:grass_block	1	13	10	13	10
minecraft:stone	5	33	10	35	12
minecraft:dirt	6	13	11	14	14
minecraft:coarse_dirt	1	23	11	23	11
minecraft:coarse_dirt	6	15	12	17	15
minecraft:coarse_dirt	1	24	13	24	13
minecraft:dirt	14	0	14	5	21
minecraft:sugar_cane	2	24	14	24	15
minecraft:dirt	1	30	14	30	14
minecraft:dirt	1	15	15	15	15
minecraft:gravel	29	16	15	21	25
minecraft:coarse_dirt	3	25	15	25	17
minecraft:grass_block	761	0	16	61	49
minecraft:dirt	3	16	16	16	18
minecraft:grass_block	17	15	16	18	23
minecraft:dirt	10	30	16	33	19
minecraft:dirt	4	61	16	62	18
minecraft:coarse_dirt	2	62	17	62	18
minecraft:andesite	1	12	18	12	18
minecraft:sugar_cane	1	25	18	25	18
minecraft:coarse_dirt	1	26	18	26	18
minecraft:coarse_dirt	1	60	18	60	18
minecraft:dirt	1	15	19	15	19
minecraft:sugar_cane	1	26	19	26	19
minecraft:coarse_dirt	1	27	19	27	19
minecraft:coarse_dirt	42	49	19	61	30
minecraft:dirt	1	60	19	60	19
minecraft:grass_block	5	62	19	62	23
minecraft:dirt	2	14	20	14	21
minecraft:coarse_dirt	2	15	20	15	21
minecraft:dirt_path	9	27	20	30	25
minecraft:coarse_dirt	1	7	21	7	21
minecraft:coarse_dirt	1	5	22	5	22
minecraft:dirt	2	6	22	7	22
minecraft:dirt	1	13	22	13	22
minecraft:coarse_dirt	1	14	22	14	22
minecraft:dirt_path	2	25	22	25	23
