population	value	count	percent
dry_wet_edge_bank_above_water_envelope	-0.500	31	9.538
dry_wet_edge_bank_above_water_envelope	-1.000	51	15.692
dry_wet_edge_bank_above_water_envelope	-2.000	2	0.615
dry_wet_edge_bank_above_water_envelope	0.000	226	69.538
dry_wet_edge_bank_above_water_envelope	0.500	10	3.077
dry_wet_edge_bank_above_water_envelope	1.000	5	1.538
dry_wet_edge_terrain_rise	-0.500	10	3.077
dry_wet_edge_terrain_rise	-1.000	1	0.308
dry_wet_edge_terrain_rise	0.000	67	20.615
dry_wet_edge_terrain_rise	0.500	91	28.000
dry_wet_edge_terrain_rise	1.000	142	43.692
dry_wet_edge_terrain_rise	1.500	5	1.538
dry_wet_edge_terrain_rise	2.000	9	2.769
water_block_local_z	10	7	2.011
water_block_local_z	11	7	2.011
water_block_local_z	12	4	1.149
water_block_local_z	6	115	33.046
water_block_local_z	7	134	38.506
water_block_local_z	8	61	17.529
water_block_local_z	9	20	5.747
waterlogged_block_name	minecraft:andesite_slab	1	0.585
waterlogged_block_name	minecraft:brown_stained_glass_pane	3	1.754
waterlogged_block_name	minecraft:granite_slab	102	59.649
waterlogged_block_name	minecraft:granite_stairs	62	36.257
waterlogged_block_name	minecraft:mossy_cobblestone_slab	2	1.170
waterlogged_block_name	minecraft:spruce_leaves	1	0.585
wet_column_envelope_depth	0.000	26	5.896
wet_column_envelope_depth	0.500	71	16.100
wet_column_envelope_depth	1.000	302	68.481
wet_column_envelope_depth	1.500	34	7.710
wet_column_envelope_depth	2.000	8	1.814
wet_column_support_material	minecraft:andesite	33	7.483
wet_column_support_material	minecraft:andesite_slab	1	0.227
wet_column_support_material	minecraft:coarse_dirt	1	0.227
wet_column_support_material	minecraft:dirt	235	53.288
wet_column_support_material	minecraft:granite_slab	102	23.129
wet_column_support_material	minecraft:granite_stairs	62	14.059
wet_column_support_material	minecraft:grass_block	2	0.454
wet_column_support_material	minecraft:mossy_cobblestone	3	0.680
wet_column_support_material	minecraft:mossy_cobblestone_slab	2	0.454
wet_column_top_z	10	6	1.361
wet_column_top_z	11	6	1.361
wet_column_top_z	12	4	0.907
wet_column_top_z	6	201	45.578
wet_column_top_z	7	141	31.973
wet_column_top_z	8	64	14.512
wet_column_top_z	9	19	4.308
wet_column_water_count	0	101	22.902
wet_column_water_count	1	332	75.283
wet_column_water_count	2	8	1.814
wet_column_waterlogged_count	0	270	61.224
wet_column_waterlogged_count	1	171	38.776
wet_neighbors_bed_top_step	0.000	538	75.456
wet_neighbors_bed_top_step	0.500	139	19.495
wet_neighbors_bed_top_step	1.000	34	4.769
wet_neighbors_bed_top_step	1.500	2	0.281
wet_neighbors_surface_cell_step	0	690	96.774
wet_neighbors_surface_cell_step	1	23	3.226
