x	y	top_z	substrate_z	normalized_height	slope1	slope4	slope8	dx4	dy4	substrate	visible
0	0	12	12	1.000000	26.565	7.125	10.620	-0.125	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
1	0	11	11	0.857143	26.565	7.125	7.956	0.000	0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
2	0	11	11	0.857143	0.000	10.025	11.180	-0.125	0.125	minecraft:dirt	minecraft:dirt
3	0	11	11	0.857143	0.000	14.036	11.180	-0.250	0.000	minecraft:dirt	minecraft:dirt
4	0	11	11	0.857143	0.000	20.556	14.450	-0.375	0.000	minecraft:dirt	minecraft:dirt
5	0	11	11	0.857143	26.565	14.036	14.036	-0.250	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
6	0	10	10	0.714286	45.000	21.568	11.180	-0.375	0.125	minecraft:dirt	minecraft:dirt
7	0	9	9	0.571429	35.264	24.261	7.956	-0.375	0.250	minecraft:coarse_dirt	minecraft:coarse_dirt
8	0	9	9	0.571429	0.000	27.266	12.699	-0.500	0.125	minecraft:coarse_dirt	minecraft:coarse_dirt
9	0	9	9	0.571429	26.565	27.266	7.956	-0.500	0.125	minecraft:dirt	minecraft:dirt
10	0	9	8	0.428571	26.565	21.568	7.956	-0.375	0.125	minecraft:dirt	minecraft:water[level=2]
11	0	9	8	0.428571	26.565	10.025	5.051	-0.125	0.125	minecraft:dirt	minecraft:water[level=3]
12	0	9	7	0.285714	26.565	7.125	7.956	0.000	0.125	minecraft:dirt	minecraft:water[level=3]
13	0	9	7	0.285714	0.000	0.000	5.051	0.000	0.000	minecraft:dirt	minecraft:water[level=4]
14	0	9	7	0.285714	26.565	14.036	3.576	0.250	0.000	minecraft:dirt	minecraft:water[level=5]
15	0	9	8	0.428571	48.190	19.471	5.051	0.250	-0.250	minecraft:dirt	minecraft:granite_slab[type=bottom, waterlogged=false]
16	0	9	9	0.571429	35.264	24.261	11.180	0.375	-0.250	minecraft:dirt	minecraft:dirt
17	0	9	9	0.571429	26.565	24.261	11.180	0.375	-0.250	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
18	0	10	10	0.714286	35.264	24.261	15.616	0.375	-0.250	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
19	0	10	10	0.714286	0.000	19.471	12.699	0.250	-0.250	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
20	0	11	10	0.714286	0.000	10.025	14.851	0.125	-0.125	minecraft:grass_block[snowy=false]	minecraft:fern
21	0	11	10	0.714286	0.000	10.025	14.851	0.125	-0.125	minecraft:grass_block[snowy=false]	minecraft:short_grass
22	0	10	10	0.714286	0.000	7.125	14.851	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
23	0	10	10	0.714286	0.000	7.125	10.025	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
24	0	12	10	0.714286	0.000	0.000	7.956	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:spruce_leaves[distance=7, persistent=true, waterlogged=false]
25	0	11	10	0.714286	0.000	0.000	5.051	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:short_grass
26	0	11	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:podzol[snowy=false]	minecraft:short_grass
27	0	10	10	0.714286	45.000	0.000	3.576	0.000	0.000	minecraft:coarse_dirt	minecraft:coarse_dirt
28	0	11	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:podzol[snowy=false]	minecraft:short_grass
29	0	10	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
30	0	10	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
31	0	10	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
32	0	12	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:large_fern[half=upper]
33	0	10	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
34	0	10	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
35	0	10	10	0.714286	0.000	0.000	7.956	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
36	0	10	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
37	0	11	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:short_grass
38	0	10	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
39	0	10	10	0.714286	0.000	15.616	7.125	0.250	0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
40	0	11	10	0.714286	0.000	0.000	7.125	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:short_grass
41	0	10	10	0.714286	0.000	0.000	7.125	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
42	0	11	10	0.714286	54.736	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:oak_leaves[distance=7, persistent=true, waterlogged=false]
43	0	12	12	1.000000	0.000	14.036	10.620	0.000	-0.250	minecraft:stone	minecraft:stone
44	0	10	10	0.714286	48.190	0.000	5.051	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
45	0	11	10	0.714286	0.000	0.000	5.051	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:short_grass
46	0	11	10	0.714286	0.000	7.125	5.051	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:short_grass
47	0	11	10	0.714286	0.000	15.616	5.051	-0.250	-0.125	minecraft:grass_block[snowy=false]	minecraft:short_grass
48	0	11	10	0.714286	0.000	10.025	5.051	-0.125	-0.125	minecraft:grass_block[snowy=false]	minecraft:fern
49	0	11	10	0.714286	26.565	10.025	5.051	-0.125	-0.125	minecraft:grass_block[snowy=false]	minecraft:short_grass
50	0	11	10	0.714286	26.565	10.025	5.051	-0.125	-0.125	minecraft:grass_block[snowy=false]	minecraft:short_grass
51	0	10	10	0.714286	35.264	10.025	11.180	-0.125	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
52	0	9	9	0.571429	26.565	7.125	3.576	-0.125	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
53	0	9	9	0.571429	0.000	7.125	3.576	-0.125	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
54	0	9	9	0.571429	0.000	7.125	3.576	-0.125	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
55	0	9	9	0.571429	0.000	7.125	3.576	-0.125	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
56	0	9	9	0.571429	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
57	0	10	9	0.571429	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:fern
58	0	9	9	0.571429	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
59	0	9	9	0.571429	0.000	7.125	5.051	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
60	0	10	9	0.571429	0.000	7.125	3.576	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:tall_grass[half=lower]
61	0	9	9	0.571429	0.000	7.125	3.576	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
62	0	10	9	0.571429	0.000	7.125	3.576	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:fern
0	1	12	12	1.000000	26.565	7.125	10.620	-0.125	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
1	1	11	11	0.857143	35.264	7.125	7.956	0.000	0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
2	1	11	11	0.857143	0.000	10.025	11.180	-0.125	0.125	minecraft:dirt	minecraft:dirt
3	1	11	11	0.857143	0.000	7.125	11.180	-0.125	0.000	minecraft:dirt	minecraft:dirt
4	1	11	11	0.857143	0.000	20.556	14.450	-0.375	0.000	minecraft:dirt	minecraft:dirt
5	1	11	11	0.857143	26.565	14.036	14.036	-0.250	0.000	minecraft:dirt	minecraft:dirt
6	1	10	10	0.714286	35.264	21.568	11.180	-0.375	0.125	minecraft:dirt	minecraft:dirt
7	1	10	10	0.714286	35.264	21.568	11.180	-0.375	0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
8	1	9	9	0.571429	35.264	29.206	15.616	-0.500	0.250	minecraft:coarse_dirt	minecraft:coarse_dirt
9	1	9	9	0.571429	26.565	27.266	7.956	-0.500	0.125	minecraft:coarse_dirt	minecraft:coarse_dirt
10	1	9	8	0.428571	26.565	21.568	10.025	-0.375	0.125	minecraft:dirt	minecraft:granite_stairs[facing=west, half=bottom, shape=straight, waterlogged=false]
11	1	9	8	0.428571	26.565	21.568	7.956	-0.375	0.125	minecraft:andesite	minecraft:water[level=4]
12	1	9	7	0.285714	26.565	10.025	7.956	-0.125	0.125	minecraft:dirt	minecraft:water[level=4]
13	1	9	7	0.285714	0.000	0.000	5.051	0.000	0.000	minecraft:dirt	minecraft:water[level=5]
14	1	9	7	0.285714	0.000	7.125	3.576	0.125	0.000	minecraft:dirt	minecraft:water[level=6]
15	1	8	7	0.285714	35.264	15.616	0.000	0.250	-0.125	minecraft:dirt	minecraft:water[level=0]
16	1	8	8	0.428571	54.736	24.261	7.956	0.375	-0.250	minecraft:dirt	minecraft:dirt
17	1	9	9	0.571429	35.264	24.261	11.180	0.375	-0.250	minecraft:dirt	minecraft:dirt
18	1	9	9	0.571429	35.264	24.261	12.699	0.375	-0.250	minecraft:dirt	minecraft:dirt
19	1	10	10	0.714286	35.264	24.261	19.471	0.375	-0.250	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
20	1	10	10	0.714286	26.565	15.616	14.851	0.250	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
21	1	11	10	0.714286	0.000	10.025	14.851	0.125	-0.125	minecraft:grass_block[snowy=false]	minecraft:fern
22	1	10	10	0.714286	0.000	10.025	14.851	0.125	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
23	1	10	10	0.714286	0.000	15.616	14.851	0.250	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
24	1	12	10	0.714286	0.000	7.125	10.025	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:large_fern[half=upper]
25	1	10	10	0.714286	0.000	0.000	7.956	0.000	0.000	minecraft:podzol[snowy=false]	minecraft:podzol[snowy=false]
26	1	11	10	0.714286	45.000	0.000	5.051	0.000	0.000	minecraft:dirt	minecraft:dark_oak_stairs[facing=east, half=bottom, shape=straight, waterlogged=false]
27	1	12	12	1.000000	0.000	14.036	10.620	0.000	-0.250	minecraft:dark_oak_log[axis=y]	minecraft:dark_oak_log[axis=y]
28	1	10	10	0.714286	45.000	0.000	3.576	0.000	0.000	minecraft:podzol[snowy=false]	minecraft:podzol[snowy=false]
29	1	10	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:coarse_dirt	minecraft:coarse_dirt
30	1	11	10	0.714286	0.000	7.125	3.576	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:short_grass
31	1	10	10	0.714286	0.000	15.616	3.576	-0.250	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
32	1	10	10	0.714286	0.000	7.125	3.576	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
33	1	11	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:short_grass
34	1	10	10	0.714286	0.000	0.000	7.956	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
35	1	10	10	0.714286	0.000	0.000	3.576	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
36	1	10	10	0.714286	0.000	0.000	5.051	0.000	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
37	1	10	10	0.714286	0.000	7.125	3.576	0.000	-0.125	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
38	1	11	10	0.714286	0.000	15.616	3.576	0.250	-0.125	minecraft:grass_block[snowy=false]	minecraft:short_grass
39	1	10	10	0.714286	0.000	14.036	3.576	0.250	0.000	minecraft:grass_block[snowy=false]	minecraft:grass_block[snowy=false]
