x	y	highest_wet_cell_z	water_blocks	waterlogged_blocks	terrain_support_top	upper_water_cell_minus_support	support_name
10	0	9	1	0	9.000	1.000	minecraft:dirt
11	0	9	1	0	9.000	1.000	minecraft:dirt
12	0	9	1	1	8.500	1.500	minecraft:granite_slab
13	0	9	1	1	8.500	1.500	minecraft:granite_slab
14	0	9	1	1	9.000	1.000	minecraft:granite_stairs
11	1	9	1	0	9.000	1.000	minecraft:andesite
12	1	9	1	1	9.000	1.000	minecraft:granite_stairs
13	1	9	1	1	8.500	1.500	minecraft:granite_slab
14	1	9	2	0	8.000	2.000	minecraft:dirt
15	1	8	1	0	8.000	1.000	minecraft:dirt
11	2	9	1	0	9.000	1.000	minecraft:dirt
12	2	9	1	1	9.000	1.000	minecraft:granite_stairs
13	2	9	1	1	8.500	1.500	minecraft:granite_slab
14	2	9	2	0	8.000	2.000	minecraft:dirt
15	2	8	1	0	8.000	1.000	minecraft:dirt
16	2	8	0	1	9.000	0.000	minecraft:granite_stairs
12	3	9	1	1	9.000	1.000	minecraft:granite_stairs
13	3	9	1	1	8.500	1.500	minecraft:granite_slab
14	3	8	1	0	8.000	1.000	minecraft:dirt
15	3	8	1	0	8.000	1.000	minecraft:dirt
16	3	8	1	0	8.000	1.000	minecraft:dirt
13	4	8	0	1	9.000	0.000	minecraft:granite_stairs
14	4	8	1	0	8.000	1.000	minecraft:dirt
15	4	8	1	1	8.000	1.000	minecraft:granite_stairs
16	4	8	1	0	8.000	1.000	minecraft:dirt
17	4	8	1	0	8.000	1.000	minecraft:dirt
13	5	8	0	1	9.000	0.000	minecraft:granite_stairs
14	5	8	0	1	9.000	0.000	minecraft:granite_stairs
15	5	8	1	1	7.500	1.500	minecraft:granite_slab
16	5	8	1	1	7.500	1.500	minecraft:granite_slab
17	5	8	1	0	8.000	1.000	minecraft:dirt
18	5	8	1	0	8.000	1.000	minecraft:dirt
14	6	8	0	1	9.000	0.000	minecraft:granite_stairs
15	6	8	1	1	7.500	1.500	minecraft:granite_slab
16	6	8	1	1	7.500	1.500	minecraft:granite_slab
17	6	8	1	1	7.500	1.500	minecraft:granite_slab
18	6	8	1	0	8.000	1.000	minecraft:dirt
14	7	8	0	1	9.000	0.000	minecraft:granite_stairs
15	7	8	1	1	8.000	1.000	minecraft:granite_stairs
16	7	8	1	1	7.500	1.500	minecraft:granite_slab
17	7	8	1	1	7.500	1.500	minecraft:granite_slab
18	7	8	1	1	8.000	1.000	minecraft:granite_stairs
19	7	8	1	0	8.000	1.000	minecraft:dirt
15	8	8	1	0	8.000	1.000	minecraft:dirt
16	8	8	1	1	8.000	1.000	minecraft:granite_stairs
17	8	8	1	1	7.500	1.500	minecraft:granite_slab
18	8	8	1	1	8.000	1.000	minecraft:granite_stairs
19	8	8	1	0	8.000	1.000	minecraft:dirt
20	8	8	1	0	8.000	1.000	minecraft:dirt
15	9	8	1	0	8.000	1.000	minecraft:dirt
16	9	8	1	1	8.000	1.000	minecraft:granite_stairs
17	9	8	2	0	7.000	2.000	minecraft:dirt
18	9	8	1	1	7.500	1.500	minecraft:granite_slab
19	9	8	1	1	8.000	1.000	minecraft:granite_stairs
20	9	8	1	0	8.000	1.000	minecraft:dirt
21	9	8	1	0	8.000	1.000	minecraft:dirt
16	10	8	1	0	8.000	1.000	minecraft:dirt
17	10	8	1	1	8.000	1.000	minecraft:granite_stairs
18	10	8	1	1	8.000	1.000	minecraft:granite_stairs
19	10	8	1	0	8.000	1.000	minecraft:dirt
20	10	8	1	0	8.000	1.000	minecraft:dirt
21	10	8	1	0	8.000	1.000	minecraft:dirt
22	10	8	1	1	8.000	1.000	minecraft:granite_stairs
16	11	8	1	0	8.000	1.000	minecraft:dirt
17	11	8	1	0	8.000	1.000	minecraft:dirt
18	11	8	1	0	8.000	1.000	minecraft:dirt
19	11	8	1	0	8.000	1.000	minecraft:dirt
20	11	8	1	1	8.000	1.000	minecraft:granite_stairs
21	11	8	1	1	8.000	1.000	minecraft:granite_stairs
22	11	7	1	0	7.000	1.000	minecraft:dirt
18	12	8	1	0	8.000	1.000	minecraft:dirt
19	12	8	1	0	8.000	1.000	minecraft:dirt
20	12	8	1	1	8.000	1.000	minecraft:granite_stairs
21	12	7	1	0	7.000	1.000	minecraft:dirt
22	12	7	1	0	7.000	1.000	minecraft:dirt
23	12	7	0	1	8.000	0.000	minecraft:granite_stairs
19	13	8	1	1	8.000	1.000	minecraft:granite_stairs
20	13	7	1	0	7.000	1.000	minecraft:dirt
21	13	7	1	0	7.000	1.000	minecraft:dirt
22	13	7	1	0	7.000	1.000	minecraft:dirt
23	13	7	1	0	7.000	1.000	minecraft:dirt
0	14	12	1	0	12.000	1.000	minecraft:dirt
19	14	7	0	1	8.000	0.000	minecraft:granite_stairs
20	14	7	1	0	7.000	1.000	minecraft:dirt
21	14	7	1	0	7.000	1.000	minecraft:dirt
22	14	7	1	0	7.000	1.000	minecraft:dirt
23	14	7	1	0	7.000	1.000	minecraft:dirt
0	15	12	1	0	12.000	1.000	minecraft:dirt
1	15	12	1	0	12.000	1.000	minecraft:dirt
2	15	12	2	0	11.000	2.000	minecraft:dirt
3	15	11	1	0	11.000	1.000	minecraft:dirt
20	15	7	1	0	7.000	1.000	minecraft:dirt
21	15	7	1	0	7.000	1.000	minecraft:dirt
22	15	7	1	0	7.000	1.000	minecraft:dirt
23	15	7	1	0	7.000	1.000	minecraft:dirt
3	16	11	1	0	11.000	1.000	minecraft:dirt
20	16	7	1	0	7.000	1.000	minecraft:dirt
21	16	7	1	0	7.000	1.000	minecraft:dirt
22	16	7	1	0	7.000	1.000	minecraft:dirt
23	16	7	1	0	7.000	1.000	minecraft:dirt
24	16	7	1	0	7.000	1.000	minecraft:dirt
3	17	11	1	0	11.000	1.000	minecraft:dirt
21	17	7	1	0	7.000	1.000	minecraft:dirt
22	17	7	1	0	7.000	1.000	minecraft:dirt
23	17	7	1	0	7.000	1.000	minecraft:dirt
24	17	7	1	0	7.000	1.000	minecraft:dirt
3	18	11	1	0	11.000	1.000	minecraft:dirt
21	18	7	1	0	7.000	1.000	minecraft:dirt
22	18	7	1	0	7.000	1.000	minecraft:dirt
23	18	7	1	0	7.000	1.000	minecraft:dirt
24	18	7	1	0	7.000	1.000	minecraft:dirt
3	19	11	1	0	11.000	1.000	minecraft:dirt
4	19	11	2	0	10.000	2.000	minecraft:dirt
21	19	7	1	0	7.000	1.000	minecraft:dirt
22	19	7	1	0	7.000	1.000	minecraft:dirt
23	19	7	1	0	7.000	1.000	minecraft:dirt
24	19	7	1	0	7.000	1.000	minecraft:dirt
25	19	7	0	1	7.500	0.500	minecraft:granite_slab
4	20	10	1	0	10.000	1.000	minecraft:dirt
5	20	10	1	0	10.000	1.000	minecraft:dirt
22	20	7	1	0	7.000	1.000	minecraft:dirt
23	20	7	1	0	7.000	1.000	minecraft:dirt
24	20	7	1	0	7.000	1.000	minecraft:dirt
25	20	7	1	0	7.000	1.000	minecraft:dirt
26	20	7	0	1	7.500	0.500	minecraft:granite_slab
5	21	10	1	0	10.000	1.000	minecraft:dirt
22	21	7	1	0	7.000	1.000	minecraft:dirt
23	21	7	1	0	7.000	1.000	minecraft:dirt
24	21	7	1	0	7.000	1.000	minecraft:dirt
25	21	7	0	1	7.500	0.500	minecraft:granite_slab
26	21	7	0	1	7.500	0.500	minecraft:granite_slab
5	22	10	1	0	10.000	1.000	minecraft:coarse_dirt
6	22	10	1	0	10.000	1.000	minecraft:dirt
7	22	10	2	0	9.000	2.000	minecraft:dirt
22	22	7	1	0	7.000	1.000	minecraft:dirt
23	22	7	1	0	7.000	1.000	minecraft:dirt
24	22	7	1	0	7.000	1.000	minecraft:dirt
26	22	7	0	1	7.500	0.500	minecraft:granite_slab
7	23	9	1	0	9.000	1.000	minecraft:grass_block
8	23	9	1	0	9.000	1.000	minecraft:dirt
21	23	7	1	0	7.000	1.000	minecraft:dirt
22	23	7	1	0	7.000	1.000	minecraft:dirt
23	23	7	1	0	7.000	1.000	minecraft:dirt
24	23	7	1	0	7.000	1.000	minecraft:dirt
26	23	7	1	0	7.000	1.000	minecraft:dirt
27	23	7	1	0	7.000	1.000	minecraft:dirt
8	24	9	1	0	9.000	1.000	minecraft:grass_block
9	24	9	2	0	8.000	2.000	minecraft:dirt
10	24	8	1	0	8.000	1.000	minecraft:dirt
21	24	7	1	0	7.000	1.000	minecraft:dirt
22	24	7	1	0	7.000	1.000	minecraft:dirt
23	24	7	1	0	7.000	1.000	minecraft:dirt
24	24	7	1	0	7.000	1.000	minecraft:dirt
27	24	7	1	0	7.000	1.000	minecraft:dirt
28	24	7	1	0	7.000	1.000	minecraft:dirt
10	25	8	1	0	8.000	1.000	minecraft:dirt
11	25	8	1	0	8.000	1.000	minecraft:dirt
12	25	8	1	0	8.000	1.000	minecraft:dirt
13	25	8	1	0	8.000	1.000	minecraft:dirt
14	25	8	2	0	7.000	2.000	minecraft:dirt
15	25	7	1	0	7.000	1.000	minecraft:dirt
16	25	7	1	0	7.000	1.000	minecraft:dirt
20	25	7	1	0	7.000	1.000	minecraft:dirt
21	25	7	1	0	7.000	1.000	minecraft:dirt
22	25	7	1	0	7.000	1.000	minecraft:dirt
23	25	7	1	0	7.000	1.000	minecraft:dirt
24	25	7	1	0	7.000	1.000	minecraft:dirt
25	25	7	1	0	7.000	1.000	minecraft:dirt
28	25	7	1	0	7.000	1.000	minecraft:dirt
29	25	7	1	0	7.000	1.000	minecraft:dirt
16	26	7	1	0	7.000	1.000	minecraft:dirt
17	26	7	1	0	7.000	1.000	minecraft:dirt
18	26	7	1	0	7.000	1.000	minecraft:dirt
19	26	7	1	0	7.000	1.000	minecraft:dirt
20	26	7	1	0	7.000	1.000	minecraft:dirt
21	26	7	1	0	7.000	1.000	minecraft:dirt
22	26	7	1	0	7.000	1.000	minecraft:dirt
23	26	7	1	0	7.000	1.000	minecraft:dirt
24	26	7	1	0	7.000	1.000	minecraft:dirt
25	26	7	1	0	7.000	1.000	minecraft:dirt
26	26	7	1	0	7.000	1.000	minecraft:dirt
27	26	7	1	0	7.000	1.000	minecraft:dirt
28	26	7	1	0	7.000	1.000	minecraft:dirt
29	26	7	1	1	7.000	1.000	minecraft:granite_stairs
30	26	7	1	1	7.000	1.000	minecraft:granite_stairs
31	26	7	1	1	7.000	1.000	minecraft:granite_stairs
32	26	7	1	0	7.000	1.000	minecraft:dirt
21	27	7	1	0	7.000	1.000	minecraft:dirt
22	27	7	1	0	7.000	1.000	minecraft:dirt
23	27	7	0	1	7.500	0.500	minecraft:granite_slab
24	27	7	1	0	7.000	1.000	minecraft:dirt
25	27	7	1	0	7.000	1.000	minecraft:dirt
27	27	7	0	1	7.500	0.500	minecraft:andesite_slab
28	27	7	1	1	7.000	1.000	minecraft:granite_stairs
29	27	7	1	1	7.000	1.000	minecraft:granite_stairs
30	27	7	1	1	6.500	1.500	minecraft:granite_slab
31	27	7	1	1	7.000	1.000	minecraft:granite_stairs
32	27	7	1	1	7.000	1.000	minecraft:granite_stairs
23	28	7	1	0	7.000	1.000	minecraft:dirt
24	28	7	1	0	7.000	1.000	minecraft:dirt
25	28	7	1	1	7.000	1.000	minecraft:granite_stairs
26	28	7	1	1	7.000	1.000	minecraft:granite_stairs
27	28	7	1	1	7.000	1.000	minecraft:granite_stairs
28	28	7	1	1	7.000	1.000	minecraft:granite_stairs
29	28	7	1	1	6.500	1.500	minecraft:granite_slab
30	28	7	1	0	7.000	1.000	minecraft:mossy_cobblestone
31	28	7	1	1	6.500	1.500	minecraft:granite_slab
32	28	7	1	1	7.000	1.000	minecraft:granite_stairs
33	28	7	1	0	7.000	1.000	minecraft:dirt
24	29	7	1	1	7.000	1.000	minecraft:granite_stairs
25	29	7	1	1	6.500	1.500	minecraft:granite_slab
26	29	7	1	1	6.500	1.500	minecraft:granite_slab
27	29	7	1	1	6.500	1.500	minecraft:granite_slab
28	29	7	1	1	6.500	1.500	minecraft:granite_slab
29	29	7	1	1	6.500	1.500	minecraft:granite_slab
30	29	7	1	1	6.500	1.500	minecraft:mossy_cobblestone_slab
31	29	7	1	1	6.500	1.500	minecraft:granite_slab
32	29	7	1	1	7.000	1.000	minecraft:granite_stairs
33	29	7	1	0	7.000	1.000	minecraft:dirt
24	30	7	1	0	7.000	1.000	minecraft:dirt
25	30	7	1	0	7.000	1.000	minecraft:dirt
26	30	7	1	1	7.000	1.000	minecraft:granite_stairs
27	30	7	1	1	7.000	1.000	minecraft:granite_stairs
28	30	7	1	1	6.500	1.500	minecraft:granite_slab
29	30	7	1	1	6.500	1.500	minecraft:mossy_cobblestone_slab
30	30	7	1	1	6.500	1.500	minecraft:granite_slab
31	30	7	1	1	6.500	1.500	minecraft:granite_slab
