population	height_band_8	slope_band_0_10_25_40_55_90	state	count
expected	0	0	minecraft:acacia_wood{axis=y}	21
expected	0	0	minecraft:andesite	6
expected	0	0	minecraft:basalt{axis=y}	7
expected	0	0	minecraft:cobblestone	16
expected	0	0	minecraft:cyan_terracotta	11
expected	0	0	minecraft:diamond_block	3
expected	0	0	minecraft:dirt	32
expected	0	0	minecraft:grass_block{snowy=false}	3321
expected	0	0	minecraft:light_gray_wool	5
expected	0	0	minecraft:moss_block	936
expected	0	0	minecraft:mud	31
expected	0	0	minecraft:pale_moss_block	44
expected	0	0	minecraft:pale_oak_wood{axis=y}	5
expected	0	0	minecraft:smooth_basalt	4
expected	0	0	minecraft:spruce_log{axis=y}	4
expected	0	0	minecraft:stone	70
expected	0	1	minecraft:acacia_wood{axis=y}	94
expected	0	1	minecraft:andesite	26
expected	0	1	minecraft:basalt{axis=y}	31
expected	0	1	minecraft:blackstone	15
expected	0	1	minecraft:coal_ore	1
expected	0	1	minecraft:cobblestone	88
expected	0	1	minecraft:cyan_terracotta	106
expected	0	1	minecraft:diamond_block	54
expected	0	1	minecraft:dirt	44
expected	0	1	minecraft:grass_block{snowy=false}	5207
expected	0	1	minecraft:light_gray_wool	25
expected	0	1	minecraft:moss_block	2822
expected	0	1	minecraft:mud	90
expected	0	1	minecraft:pale_moss_block	264
expected	0	1	minecraft:pale_oak_wood{axis=y}	47
expected	0	1	minecraft:smooth_basalt	25
expected	0	1	minecraft:spruce_log{axis=y}	9
expected	0	1	minecraft:stone	458
expected	0	1	minecraft:tuff	6
expected	0	2	minecraft:acacia_wood{axis=y}	469
expected	0	2	minecraft:andesite	37
expected	0	2	minecraft:basalt{axis=y}	185
expected	0	2	minecraft:black_wool	1
expected	0	2	minecraft:blackstone	35
expected	0	2	minecraft:cobblestone	198
expected	0	2	minecraft:cyan_terracotta	375
expected	0	2	minecraft:diamond_block	240
expected	0	2	minecraft:dirt	37
expected	0	2	minecraft:grass_block{snowy=false}	2763
expected	0	2	minecraft:light_gray_wool	55
expected	0	2	minecraft:moss_block	2312
expected	0	2	minecraft:mud	379
expected	0	2	minecraft:pale_moss_block	818
expected	0	2	minecraft:pale_oak_wood{axis=y}	175
expected	0	2	minecraft:smooth_basalt	129
expected	0	2	minecraft:spruce_log{axis=y}	4
expected	0	2	minecraft:stone	925
expected	0	2	minecraft:tuff	34
expected	0	3	minecraft:acacia_wood{axis=y}	578
expected	0	3	minecraft:andesite	16
expected	0	3	minecraft:basalt{axis=y}	151
expected	0	3	minecraft:black_wool	9
expected	0	3	minecraft:blackstone	85
expected	0	3	minecraft:cobblestone	181
expected	0	3	minecraft:cyan_terracotta	583
expected	0	3	minecraft:diamond_block	32
expected	0	3	minecraft:dirt	14
expected	0	3	minecraft:grass_block{snowy=false}	613
expected	0	3	minecraft:iron_ore	1
expected	0	3	minecraft:light_gray_wool	18
expected	0	3	minecraft:moss_block	462
expected	0	3	minecraft:mud	460
expected	0	3	minecraft:netherrack	4
expected	0	3	minecraft:pale_moss_block	1009
expected	0	3	minecraft:pale_oak_wood{axis=y}	116
expected	0	3	minecraft:smooth_basalt	112
expected	0	3	minecraft:spruce_log{axis=y}	2
expected	0	3	minecraft:stone	823
expected	0	3	minecraft:tuff	18
expected	0	4	minecraft:acacia_wood{axis=y}	175
