population	state	count
expected_snow_surface	minecraft:acacia_wood{axis=y}	12335
expected_snow_surface	minecraft:acacia_wood{axis=z}	4
expected_snow_surface	minecraft:andesite	1437
expected_snow_surface	minecraft:basalt{axis=y}	2187
expected_snow_surface	minecraft:black_wool	88
expected_snow_surface	minecraft:blackstone	630
expected_snow_surface	minecraft:coal_ore	27
expected_snow_surface	minecraft:coarse_dirt	19
expected_snow_surface	minecraft:cobblestone	13903
expected_snow_surface	minecraft:cyan_terracotta	8322
expected_snow_surface	minecraft:diamond_block	427
expected_snow_surface	minecraft:dirt	393
expected_snow_surface	minecraft:dripstone_block	68
expected_snow_surface	minecraft:granite	12
expected_snow_surface	minecraft:grass_block{snowy=false}	16879
expected_snow_surface	minecraft:grass_block{snowy=true}	6
expected_snow_surface	minecraft:gravel	19
expected_snow_surface	minecraft:gray_wool	248
expected_snow_surface	minecraft:iron_ore	17
expected_snow_surface	minecraft:light_gray_terracotta	32
expected_snow_surface	minecraft:light_gray_wool	1309
expected_snow_surface	minecraft:moss_block	10800
expected_snow_surface	minecraft:mud	5561
expected_snow_surface	minecraft:netherrack	4
expected_snow_surface	minecraft:packed_mud	24
expected_snow_surface	minecraft:pale_moss_block	17171
expected_snow_surface	minecraft:pale_oak_wood{axis=x}	6
expected_snow_surface	minecraft:pale_oak_wood{axis=y}	2574
expected_snow_surface	minecraft:pale_oak_wood{axis=z}	14
expected_snow_surface	minecraft:smooth_basalt	1409
expected_snow_surface	minecraft:snow[layers=1]	758
expected_snow_surface	minecraft:snow[layers=2]	828
expected_snow_surface	minecraft:snow[layers=3]	651
expected_snow_surface	minecraft:snow[layers=4]	564
expected_snow_surface	minecraft:snow[layers=5]	535
expected_snow_surface	minecraft:snow[layers=6]	425
expected_snow_surface	minecraft:snow[layers=7]	340
expected_snow_surface	minecraft:snow[layers=8]	185
expected_snow_surface	minecraft:spruce_log{axis=y}	22
expected_snow_surface	minecraft:stone	24610
expected_snow_surface	minecraft:tuff	272
random_undercoat	minecraft:acacia_wood{axis=y}	12057
random_undercoat	minecraft:acacia_wood{axis=z}	5
random_undercoat	minecraft:andesite	1444
random_undercoat	minecraft:basalt{axis=y}	2150
random_undercoat	minecraft:black_wool	97
random_undercoat	minecraft:blackstone	594
random_undercoat	minecraft:coal_ore	26
random_undercoat	minecraft:coarse_dirt	11
random_undercoat	minecraft:cobblestone	16690
random_undercoat	minecraft:cyan_terracotta	8077
random_undercoat	minecraft:diamond_block	423
random_undercoat	minecraft:dirt	393
random_undercoat	minecraft:dripstone_block	76
random_undercoat	minecraft:granite	15
random_undercoat	minecraft:grass_block{snowy=false}	17371
random_undercoat	minecraft:grass_block{snowy=true}	4
random_undercoat	minecraft:gravel	43
random_undercoat	minecraft:gray_wool	269
random_undercoat	minecraft:iron_ore	36
random_undercoat	minecraft:light_gray_terracotta	37
random_undercoat	minecraft:light_gray_wool	1283
random_undercoat	minecraft:moss_block	10651
random_undercoat	minecraft:mud	5473
random_undercoat	minecraft:packed_mud	23
random_undercoat	minecraft:pale_moss_block	17048
random_undercoat	minecraft:pale_oak_wood{axis=x}	6
random_undercoat	minecraft:pale_oak_wood{axis=y}	2507
random_undercoat	minecraft:pale_oak_wood{axis=z}	17
random_undercoat	minecraft:smooth_basalt	1456
random_undercoat	minecraft:spruce_log{axis=y}	15
random_undercoat	minecraft:stone	26563
random_undercoat	minecraft:tuff	255
expected_undercoat	minecraft:acacia_wood{axis=y}	12337
expected_undercoat	minecraft:acacia_wood{axis=z}	4
expected_undercoat	minecraft:andesite	1438
expected_undercoat	minecraft:basalt{axis=y}	2187
expected_undercoat	minecraft:black_wool	89
expected_undercoat	minecraft:blackstone	632
expected_undercoat	minecraft:coal_ore	29
expected_undercoat	minecraft:coarse_dirt	19
expected_undercoat	minecraft:cobblestone	17123
expected_undercoat	minecraft:cyan_terracotta	8322
expected_undercoat	minecraft:diamond_block	427
expected_undercoat	minecraft:dirt	395
expected_undercoat	minecraft:dripstone_block	68
expected_undercoat	minecraft:emerald_ore	1
expected_undercoat	minecraft:granite	12
expected_undercoat	minecraft:grass_block{snowy=false}	16879
expected_undercoat	minecraft:grass_block{snowy=true}	6
expected_undercoat	minecraft:gravel	20
expected_undercoat	minecraft:gray_wool	249
expected_undercoat	minecraft:iron_ore	24
expected_undercoat	minecraft:light_gray_terracotta	32
expected_undercoat	minecraft:light_gray_wool	1313
expected_undercoat	minecraft:moss_block	10800
expected_undercoat	minecraft:mud	5562
expected_undercoat	minecraft:netherrack	4
expected_undercoat	minecraft:packed_mud	24
expected_undercoat	minecraft:pale_moss_block	17197
expected_undercoat	minecraft:pale_oak_wood{axis=x}	6
expected_undercoat	minecraft:pale_oak_wood{axis=y}	2576
expected_undercoat	minecraft:pale_oak_wood{axis=z}	14
expected_undercoat	minecraft:smooth_basalt	1409
expected_undercoat	minecraft:spruce_log{axis=y}	22
expected_undercoat	minecraft:stone	25623
expected_undercoat	minecraft:tuff	272
actual_undercoat	minecraft:acacia_wood{axis=y}	11573
actual_undercoat	minecraft:acacia_wood{axis=z}	7
actual_undercoat	minecraft:andesite	1577
actual_undercoat	minecraft:basalt{axis=y}	1999
actual_undercoat	minecraft:black_wool	61
actual_undercoat	minecraft:blackstone	469
actual_undercoat	minecraft:coal_ore	18
actual_undercoat	minecraft:coarse_dirt	18
actual_undercoat	minecraft:cobblestone	17298
actual_undercoat	minecraft:cyan_terracotta	7862
actual_undercoat	minecraft:diamond_block	290
actual_undercoat	minecraft:dirt	462
actual_undercoat	minecraft:dripstone_block	41
actual_undercoat	minecraft:emerald_ore	1
actual_undercoat	minecraft:granite	10
actual_undercoat	minecraft:grass_block{snowy=false}	21340
actual_undercoat	minecraft:grass_block{snowy=true}	6
