population	height_band_8	slope_band_0_10_25_40_55_90	state	count
expected	0	0	minecraft:acacia_wood{axis=y}	11
expected	0	0	minecraft:andesite	3
expected	0	0	minecraft:basalt{axis=y}	5
expected	0	0	minecraft:blackstone	2
expected	0	0	minecraft:cobblestone	20
expected	0	0	minecraft:cyan_terracotta	5
expected	0	0	minecraft:diamond_block	1
expected	0	0	minecraft:dirt	35
expected	0	0	minecraft:grass_block{snowy=false}	3436
expected	0	0	minecraft:gray_wool	1
expected	0	0	minecraft:light_gray_wool	3
expected	0	0	minecraft:moss_block	922
expected	0	0	minecraft:mud	34
expected	0	0	minecraft:pale_moss_block	52
expected	0	0	minecraft:pale_oak_wood{axis=y}	2
expected	0	0	minecraft:smooth_basalt	3
expected	0	0	minecraft:spruce_log{axis=y}	1
expected	0	0	minecraft:stone	82
expected	0	1	minecraft:acacia_wood{axis=y}	145
expected	0	1	minecraft:andesite	40
expected	0	1	minecraft:basalt{axis=y}	52
expected	0	1	minecraft:blackstone	13
expected	0	1	minecraft:coal_ore	1
expected	0	1	minecraft:cobblestone	110
expected	0	1	minecraft:cyan_terracotta	154
expected	0	1	minecraft:diamond_block	126
expected	0	1	minecraft:dirt	57
expected	0	1	minecraft:grass_block{snowy=false}	6703
expected	0	1	minecraft:light_gray_wool	38
expected	0	1	minecraft:moss_block	3612
expected	0	1	minecraft:mud	153
expected	0	1	minecraft:pale_moss_block	350
expected	0	1	minecraft:pale_oak_wood{axis=y}	62
expected	0	1	minecraft:smooth_basalt	33
expected	0	1	minecraft:spruce_log{axis=y}	8
expected	0	1	minecraft:stone	538
expected	0	1	minecraft:tuff	13
expected	0	2	minecraft:acacia_wood{axis=y}	621
expected	0	2	minecraft:andesite	28
expected	0	2	minecraft:basalt{axis=y}	239
expected	0	2	minecraft:black_wool	1
expected	0	2	minecraft:blackstone	57
expected	0	2	minecraft:cobblestone	269
expected	0	2	minecraft:cyan_terracotta	528
expected	0	2	minecraft:diamond_block	237
expected	0	2	minecraft:dirt	47
expected	0	2	minecraft:grass_block{snowy=false}	2631
expected	0	2	minecraft:gray_wool	6
expected	0	2	minecraft:iron_ore	1
expected	0	2	minecraft:light_gray_wool	58
expected	0	2	minecraft:moss_block	2329
expected	0	2	minecraft:mud	592
expected	0	2	minecraft:pale_moss_block	1170
expected	0	2	minecraft:pale_oak_wood{axis=y}	209
expected	0	2	minecraft:smooth_basalt	177
expected	0	2	minecraft:spruce_log{axis=y}	9
expected	0	2	minecraft:stone	1239
expected	0	2	minecraft:tuff	56
expected	0	3	minecraft:acacia_wood{axis=y}	647
expected	0	3	minecraft:andesite	19
expected	0	3	minecraft:basalt{axis=y}	148
expected	0	3	minecraft:black_wool	9
expected	0	3	minecraft:blackstone	110
expected	0	3	minecraft:cobblestone	213
expected	0	3	minecraft:cyan_terracotta	625
expected	0	3	minecraft:diamond_block	32
expected	0	3	minecraft:dirt	7
expected	0	3	minecraft:grass_block{snowy=false}	386
expected	0	3	minecraft:gray_wool	12
expected	0	3	minecraft:light_gray_wool	12
expected	0	3	minecraft:moss_block	285
expected	0	3	minecraft:mud	448
expected	0	3	minecraft:netherrack	4
expected	0	3	minecraft:pale_moss_block	904
expected	0	3	minecraft:pale_oak_wood{axis=y}	123
expected	0	3	minecraft:smooth_basalt	123
expected	0	3	minecraft:spruce_log{axis=y}	1
expected	0	3	minecraft:stone	738
expected	0	3	minecraft:tuff	20
expected	0	4	minecraft:acacia_wood{axis=y}	120
expected	0	4	minecraft:andesite	2
expected	0	4	minecraft:basalt{axis=y}	56
expected	0	4	minecraft:black_wool	3
expected	0	4	minecraft:blackstone	22
expected	0	4	minecraft:cobblestone	95
expected	0	4	minecraft:cyan_terracotta	173
expected	0	4	minecraft:diamond_block	1
expected	0	4	minecraft:grass_block{snowy=false}	107
expected	0	4	minecraft:light_gray_wool	1
expected	0	4	minecraft:moss_block	33
expected	0	4	minecraft:mud	137
expected	0	4	minecraft:pale_moss_block	169
expected	0	4	minecraft:pale_oak_wood{axis=y}	38
expected	0	4	minecraft:smooth_basalt	43
expected	0	4	minecraft:spruce_log{axis=y}	4
expected	0	4	minecraft:stone	143
expected	1	0	minecraft:acacia_wood{axis=y}	11
expected	1	0	minecraft:andesite	2
expected	1	0	minecraft:basalt{axis=y}	6
expected	1	0	minecraft:cyan_terracotta	6
expected	1	0	minecraft:dirt	12
expected	1	0	minecraft:grass_block{snowy=false}	641
expected	1	0	minecraft:moss_block	171
expected	1	0	minecraft:mud	4
expected	1	0	minecraft:pale_moss_block	2
expected	1	0	minecraft:pale_oak_wood{axis=y}	1
expected	1	0	minecraft:smooth_basalt	21
expected	1	0	minecraft:stone	25
expected	1	1	minecraft:acacia_wood{axis=y}	102
expected	1	1	minecraft:andesite	14
