population	state	count
expected_snow_surface	minecraft:acacia_wood{axis=y}	12389
expected_snow_surface	minecraft:acacia_wood{axis=z}	3
expected_snow_surface	minecraft:andesite	1450
expected_snow_surface	minecraft:basalt{axis=y}	2181
expected_snow_surface	minecraft:black_wool	87
expected_snow_surface	minecraft:blackstone	634
expected_snow_surface	minecraft:coal_ore	35
expected_snow_surface	minecraft:coarse_dirt	18
expected_snow_surface	minecraft:cobblestone	13657
expected_snow_surface	minecraft:cyan_terracotta	8317
expected_snow_surface	minecraft:diamond_block	445
expected_snow_surface	minecraft:dirt	432
expected_snow_surface	minecraft:dripstone_block	72
expected_snow_surface	minecraft:granite	12
expected_snow_surface	minecraft:grass_block{snowy=false}	17918
expected_snow_surface	minecraft:grass_block{snowy=true}	6
expected_snow_surface	minecraft:gravel	34
expected_snow_surface	minecraft:gray_wool	289
expected_snow_surface	minecraft:iron_ore	27
expected_snow_surface	minecraft:light_gray_terracotta	32
expected_snow_surface	minecraft:light_gray_wool	1331
expected_snow_surface	minecraft:moss_block	10985
expected_snow_surface	minecraft:mud	5577
expected_snow_surface	minecraft:netherrack	4
expected_snow_surface	minecraft:packed_mud	23
expected_snow_surface	minecraft:pale_moss_block	17176
expected_snow_surface	minecraft:pale_oak_wood{axis=x}	6
expected_snow_surface	minecraft:pale_oak_wood{axis=y}	2583
expected_snow_surface	minecraft:pale_oak_wood{axis=z}	13
expected_snow_surface	minecraft:smooth_basalt	1404
expected_snow_surface	minecraft:snow[layers=1]	233
expected_snow_surface	minecraft:snow[layers=2]	445
expected_snow_surface	minecraft:snow[layers=3]	476
expected_snow_surface	minecraft:snow[layers=4]	300
expected_snow_surface	minecraft:snow[layers=5]	3123
expected_snow_surface	minecraft:spruce_log{axis=y}	23
expected_snow_surface	minecraft:stone	25679
expected_snow_surface	minecraft:tuff	277
random_undercoat	minecraft:acacia_wood{axis=y}	12326
random_undercoat	minecraft:acacia_wood{axis=z}	5
random_undercoat	minecraft:andesite	1465
random_undercoat	minecraft:basalt{axis=y}	2182
random_undercoat	minecraft:black_wool	97
random_undercoat	minecraft:blackstone	610
random_undercoat	minecraft:coal_ore	26
random_undercoat	minecraft:coarse_dirt	11
random_undercoat	minecraft:cobblestone	17035
random_undercoat	minecraft:cyan_terracotta	8233
